probe	HUGO.gene.symbol	Chromosome	Start
Contig56678_RC	Contig56678_RC	THSD4	chr15	71433788
AF026004	AF026004	CLCN2	chr3	184063973
AB033049	AB033049	ANKRD50	chr4	125585207
AB033050	AB033050	ZMIZ1	chr10	80828792
AB033086	AB033086	NLGN4X	chrX	5808083
NM_003008	NM_003008	SEMG2	chr20	43850010
Contig29827_RC	Contig29827_RC	FUT10	chr8	33228344
NM_003046	NM_003046	SLC7A2	chr8	17396286
NM_003058	NM_003058	SLC22A2	chr6	160637794
NM_001609	NM_001609	ACADSB	chr10	124768429
D42047	D42047	GPD1L	chr3	32148003
NM_003091	NM_003091	SNRPB	chr20	2442281
NM_000906	NM_000906	NPR1	chr1	153651164
NM_002373	NM_002373	MAP1A	chr15	43809806
NM_001658	NM_001658	ARF1	chr1	228270361
D25303	D25303	ITGA9	chr3	37493813
NM_001660	NM_001660	ARF4	chr3	57557090
D42084	D42084	METAP1	chr4	99916788
NM_000956	NM_000956	PTGER2	chr14	52781016
NM_000970	NM_000970	RPL6	chr12	112842994
Contig47045_RC	Contig47045_RC	REEP6	chr19	1491165
AF113694	AF113694	NF2	chr22	29999545
NM_003100	NM_003100	SNX2	chr5	122110750
NM_003107	NM_003107	SOX4	chr6	21593972
NM_003142	NM_003142	SSB	chr2	170655322
NM_002439	NM_002439	MSH3	chr5	79950467
NM_002441	NM_002441	MSH5	chr6	3040682
NM_003176	NM_003176	SYCP1	chr1	115397455
NM_002448	NM_002448	MSX1	chr4	4861392
NM_003180	NM_003180	SYT5	chr19	55684469
NM_001731	NM_001731	BTG1	chr12	92534054
NM_003192	NM_003192	TBCC	chr6	42712234
NM_019859	NM_019859	HTR7	chr10	92500576
NM_019860	NM_019860	HTR7	chr10	92500576
NM_002481	NM_002481	PPP1R12B	chr1	202431871
NM_001753	NM_001753	CAV1	chr7	116164839
Contig37562_RC	Contig37562_RC	PARD6B	chr20	49348081
NM_001792	NM_001792	CDH2	chr18	25530930
Contig40250_RC	Contig40250_RC	SPIN3	chrX	57002803
Contig57940_RC	Contig57940_RC	MOAP1	chr14	93648541
Contig49169_RC	Contig49169_RC	SUV39H2	chr10	14920782
NM_003213	NM_003213	TEAD4	chr12	3068478
NM_003222	NM_003222	TFAP2C	chr20	55204358
NM_003225	NM_003225	TFF1	chr21	43782391
NM_003226	NM_003226	TFF3	chr21	43731777
Contig271_RC	Contig271_RC	XAGE2	chrX	52380352
NM_003280	NM_003280	TNNC1	chr3	52485107
NM_003283	NM_003283	TNNT1	chr19	55644161
NM_001837	NM_001837	CCR3	chr3	46283872
Contig44941_RC	Contig44941_RC	HPCAL4	chr1	40144645
NM_002593	NM_002593	PCOLCE	chr7	100199882
NM_001879	NM_001879	MASP1	chr3	186951870
X06389	X06389	SYP	chrX	49044265
Contig28549	Contig28549	HOXB13	chr17	46802127
Contig21021_RC	Contig21021_RC	CHST9	chr18	24495595
Contig58272_RC	Contig58272_RC	TOLLIP	chr11	1295598
AJ009936	AJ009936	NR1I2	chr3	119499331
Contig26213_RC	Contig26213_RC	LIX1	chr5	96427574
NM_004031	NM_004031	IRF7	chr11	612555
NM_003320	NM_003320	TUB	chr11	8060180
AB007902	AB007902	AUTS2	chr7	69063906
NM_002607	NM_002607	PDGFA	chr7	536897
NM_003341	NM_003341	UBE2E1	chr3	23847384
NM_002614	NM_002614	PDZK1	chr1	145727666
NM_004079	NM_004079	CTSS	chr1	150702672
NM_003358	NM_003358	UGCG	chr9	114659206
NM_003359	NM_003359	UGDH	chr4	39500375
NM_002642	NM_002642	PIGC	chr1	172410597
D83776	D83776	ZCCHC11	chr1	52888948
NM_001937	NM_001937	DPT	chr1	168664695
Contig46472_RC	Contig46472_RC	DCP2	chr5	112312407
NM_001944	NM_001944	DSG3	chr18	29027732
NM_002687	NM_002687	PNN	chr14	39644387
Contig37716_RC	Contig37716_RC	TPD52L3	chr9	6328349
NM_001966	NM_001966	EHHADH	chr3	184908412
NM_001998	NM_001998	FBLN2	chr3	13610240
Contig55940_RC	Contig55940_RC	CYHR1	chr8	145675315
Contig55908_RC	Contig55908_RC	HSD3B7	chr16	30996519
NM_020111	NM_020111	ACRV1	chr11	125542229
Contig56395_RC	Contig56395_RC	TMTC4	chr13	101256090
NM_012114	NM_012114	CASP14	chr19	15160291
NM_020134	NM_020134	DPYSL5	chr2	27070969
NM_004100	NM_004100	EYA4	chr6	133562495
NM_004109	NM_004109	FDX1	chr11	110300661
NM_012134	NM_012134	LMOD1	chr1	201865584
NM_003400	NM_003400	XPO1	chr2	61705069
NM_004133	NM_004133	HNF4G	chr8	76452203
NM_002703	NM_002703	PPAT	chr4	57259529
NM_012185	NM_012185	FOXE1	chr9	100615537
NM_012191	NM_012191	NAT6	chr3	50333833
NM_002733	NM_002733	PRKAG1	chr12	49396055
X56692	X56692	CRP	chr1	159682079
Contig37571_RC	Contig37571_RC	THSD4	chr15	71433788
NM_020213	NM_020213	PARP6	chr15	72533522
NM_012200	NM_012200	B3GAT3	chr11	62382768
NM_012201	NM_012201	GLG1	chr16	74481326
NM_012202	NM_012202	GNG3	chr11	62475066
L22005	L22005	CDC34	chr19	531733
NM_020248	NM_020248	CTNNBIP1	chr1	9908334
NM_012231	NM_012231	PRDM2	chr1	14075876
NM_012241	NM_012241	SIRT5	chr6	13574859
NM_004226	NM_004226	STK17B	chr2	196998307
NM_004236	NM_004236	COPS2	chr15	49417471
NM_004247	NM_004247	EFTUD2	chr17	42927655
Contig53315_RC	Contig53315_RC	NUP35	chr2	183989083
NM_002856	NM_002856	PVRL2	chr19	45349393
NM_002884	NM_002884	RAP1A	chr1	112162405
NM_002898	NM_002898	RBMS2	chr12	56915609
Contig44309_RC	Contig44309_RC	ATP6V0A4	chr7	138391039
Contig23789_RC	Contig23789_RC	GRM7	chr3	6902802
Contig52094_RC	Contig52094_RC	NMNAT3	chr3	139279023
Contig50019_RC	Contig50019_RC	COL21A1	chr6	55921388
AB040900	AB040900	KIAA1467	chr12	13197315
AB040908	AB040908	VPS18	chr15	41186628
NM_012301	NM_012301	MAGI2	chr7	77646374
NM_005015	NM_005015	OXA1L	chr14	23235731
NM_004301	NM_004301	ACTL6A	chr3	179280708
NM_012321	NM_012321	LSM4	chr19	18417040
NM_004312	NM_004312	ARR3	chrX	69488185
NM_004322	NM_004322	BAD	chr11	64037300
NM_004324	NM_004324	BAX	chr19	49458117
NM_004332	NM_004332	BPHL	chr6	3118926
NM_005069	NM_005069	SIM2	chr21	38071991
NM_005070	NM_005070	SLC4A3	chr2	220492292
NM_012368	NM_012368	OR2C1	chr16	3405889
NM_020397	NM_020397	CAMK1D	chr10	12391583
NM_003631	NM_003631	PARG	chr10	51026325
NM_004374	NM_004374	COX6C	chr8	100890223
NM_003648	NM_003648	DGKD	chr2	234263153
NM_003654	NM_003654	CHST1	chr11	45669239
NM_004392	NM_004392	DACH1	chr13	72012098
NM_002935	NM_002935	RNASE3	chr14	21359562
NM_002949	NM_002949	MRPL12	chr17	79670400
NM_003690	NM_003690	PRKRA	chr2	179296141
NM_003696	NM_003696	OR6A2	chr11	6815756
NM_002986	NM_002986	CCL11	chr17	32612687
NM_002988	NM_002988	CCL18	chr17	34391643
AF052142	AF052142	NCALD	chr8	102698770
Contig33708_RC	Contig33708_RC	LRRCC1	chr8	86019323
AF123659	AF123659	LZTS1	chr8	20103676
AL133566	AL133566	PCSK4	chr19	1481427
NM_020424	NM_020424	LYRM1	chr16	20911557
Contig39514_RC	Contig39514_RC	APOOL	chrX	84258898
NM_012453	NM_012453	TBL2	chr7	72983277
NM_003709	NM_003709	KLF7	chr2	207945529
NM_004441	NM_004441	EPHB1	chr3	134514099
NM_012460	NM_012460	TIMM9	chr14	58875370
NM_003716	NM_003716	CADPS	chr3	62384021
NM_004447	NM_004447	EPS8	chr12	15773075
NM_012474	NM_012474	UCK2	chr1	165796732
NM_005185	NM_005185	CALML3	chr10	5566924
Contig59287_RC	Contig59287_RC	DMKN	chr19	35988119
NM_003742	NM_003742	ABCB11	chr2	169779449
NM_004472	NM_004472	FOXD1	chr5	72742085
Contig44261_RC	Contig44261_RC	C1orf87	chr1	60456066
AF263462	AF263462	CGN	chr1	151483862
Contig2262_RC	Contig2262_RC	CCDC23	chr1	43272723
U16126	U16126	GRIK2	chr6	101846861
Contig55764_RC	Contig55764_RC	PLEKHH2	chr2	43864439
NM_021212	NM_021212	CREBZF	chr11	85368608
AL117604	AL117604	DLC1	chr8	12940872
NM_005204	NM_005204	MAP3K8	chr10	30722950
NM_021257	NM_021257	NGB	chr14	77731834
NM_021258	NM_021258	IL22RA1	chr1	24446261
NM_005224	NM_005224	ARID3A	chr19	926037
AF176012	AF176012	DNAJC12	chr10	69556427
NM_013262	NM_013262	MYLIP	chr6	16129317
Contig49673_RC	Contig49673_RC	RIOK1	chr6	7402880
NM_013277	NM_013277	RACGAP1	chr12	50382945
NM_003824	NM_003824	FADD	chr11	70049269
NM_004563	NM_004563	PCK2	chr14	24563483
Contig38983_RC	Contig38983_RC	DACH1	chr13	72012098
NM_003869	NM_003869	CES2	chr16	66968347
NM_003876	NM_003876	TMEM11	chr17	21101263
Contig54029_RC	Contig54029_RC	N6AMT2	chr13	21303073
NM_003882	NM_003882	WISP1	chr8	134203282
NM_003885	NM_003885	CDK5R1	chr17	30814105
AI655345_RC	AI655345_RC	SPRED1	chr15	38545052
NM_014008	NM_014008	CCDC22	chrX	49091927
NM_006004	NM_006004	UQCRH	chr1	46769380
Contig33271_RC	Contig33271_RC	KRIT1	chr7	91828283
NM_006015	NM_006015	ARID1A	chr1	27022522
NM_006022	NM_006022	TSC22D1	chr13	45006279
